year,r,g,r-g,date
1992,3.2725,2.5,0.7725,1/1/92
1993,2.348333333,2.7,-0.351666667,1/1/93
1994,3.5925,2.65,0.9425,1/1/94
1995,3.3675,2.7,0.6675,1/1/95
1996,3.438333333,2.3,1.138333333,1/1/96
1997,3.4775,2.5,0.9775,1/1/97
1998,2.739166667,2.5,0.239166667,1/1/98
1999,3.186666667,2.5,0.686666667,1/1/99
2000,3.529166667,3.05,0.479166667,1/1/00
2001,2.505,3.3,-0.795,1/1/01
2002,2.123333333,3,-0.876666667,1/1/02
2003,1.515,3.2,-1.685,1/1/03
2004,1.774166667,3.4,-1.625833333,1/1/04
2005,1.8025,3.3,-1.4975,1/1/05
2006,2.291666667,3.2,-0.908333333,1/1/06
2007,2.241666667,3,-0.758333333,1/1/07
2008,1.166666667,2.75,-1.583333333,1/1/08
2009,0.840991667,2.56,-1.719008333,1/1/09
2010,0.891666667,2.7,-1.808333333,1/1/10
2011,0.385833333,2.835,-2.449166667,1/1/11
2012,-0.555,2.64,-3.195,1/1/12
2013,0.074583333,2.5,-2.425416667,1/1/13
2014,0.303333333,2.6,-2.296666667,1/1/14
2015,0.002083333,2.5,-2.497916667,1/1/15
2016,-0.329858333,2.275,-2.604858333,1/1/16
2017,0.0675,2.45,-2.3825,1/1/17
2018,0.67,2.15,-1.48,1/1/18
2019,-0.055833333,1.985,-2.040833333,1/1/19
2020,-1.227083333,2,-3.227083333,1/1/20
2021,-0.929175,2.25,-3.179175,1/1/21
2022,0.189629167,2.275,-2.085370833,1/1/22
2023,1.5761375,2,-0.4238625,1/1/23
2024,1.935833333,2,-0.064166667,1/1/24
2025,2.09232,2.1,-0.00768,1/1/25
