r (BEA / Jared),g (BEA / Jared),r-g (BEA / Jared),MN,date,SPF 10-Year CPI,rgdp10,US 10-Year Yield (Observed),r (SPF / Blanchard),g (SPF / Blanchard),r-g (SPF / Blanchard),yrly avg,r_spf_avg,g_spf_avg
6.645382579,5.88,0.765382579,1,1/1/1992,3.7,2.5,7.03,3.33,2.5,0.83,,,
,,,2,2/1/1992,3.7,2.5,7.34,3.64,2.5,1.14,,,
,,,3,3/1/1992,3.7,2.5,7.54,3.84,2.5,1.34,,,
,,,4,4/1/1992,3.9,2.5,7.48,3.58,2.5,1.08,,,
,,,5,5/1/1992,3.9,2.5,7.39,3.49,2.5,0.99,,,
,,,6,6/1/1992,3.9,2.5,7.26,3.36,2.5,0.86,,,
,,,7,7/1/1992,3.75,2.5,6.84,3.09,2.5,0.59,,,
,,,8,8/1/1992,3.75,2.5,6.59,2.84,2.5,0.34,,,
,,,9,9/1/1992,3.75,2.5,6.42,2.67,2.5,0.17,,,
,,,10,10/1/1992,3.6,2.5,6.59,2.99,2.5,0.49,,,
,,,11,11/1/1992,3.6,2.5,6.87,3.27,2.5,0.77,,,
,,,12,12/1/1992,3.6,2.5,6.77,3.17,2.5,0.67,0.7725,3.2725,2.5
6.11726526,5.19,0.92726526,1,1/1/1993,3.5,2.7,6.6,3.1,2.7,0.4,,,
,,,2,2/1/1993,3.5,2.7,6.26,2.76,2.7,0.06,,,
,,,3,3/1/1993,3.5,2.7,5.98,2.48,2.7,-0.22,,,
,,,4,4/1/1993,3.7,2.7,5.97,2.27,2.7,-0.43,,,
,,,5,5/1/1993,3.7,2.7,6.04,2.34,2.7,-0.36,,,
,,,6,6/1/1993,3.7,2.7,5.96,2.26,2.7,-0.44,,,
,,,7,7/1/1993,3.45,2.7,5.81,2.36,2.7,-0.34,,,
,,,8,8/1/1993,3.45,2.7,5.68,2.23,2.7,-0.47,,,
,,,9,9/1/1993,3.45,2.7,5.36,1.91,2.7,-0.79,,,
,,,10,10/1/1993,3.45,2.7,5.33,1.88,2.7,-0.82,,,
,,,11,11/1/1993,3.45,2.7,5.72,2.27,2.7,-0.43,,,
,,,12,12/1/1993,3.45,2.7,5.77,2.32,2.7,-0.38,-0.351666667,2.348333333,2.7
5.911102761,6.25,-0.338897239,1,1/1/1994,3.45,2.65,5.75,2.3,2.65,-0.35,,,
,,,2,2/1/1994,3.45,2.65,5.97,2.52,2.65,-0.13,,,
,,,3,3/1/1994,3.45,2.65,6.48,3.03,2.65,0.38,,,
,,,4,4/1/1994,3.5,2.65,6.97,3.47,2.65,0.82,,,
,,,5,5/1/1994,3.5,2.65,7.18,3.68,2.65,1.03,,,
,,,6,6/1/1994,3.5,2.65,7.1,3.6,2.65,0.95,,,
,,,7,7/1/1994,3.5,2.65,7.3,3.8,2.65,1.15,,,
,,,8,8/1/1994,3.5,2.65,7.24,3.74,2.65,1.09,,,
,,,9,9/1/1994,3.5,2.65,7.46,3.96,2.65,1.31,,,
,,,10,10/1/1994,3.5,2.65,7.74,4.24,2.65,1.59,,,
,,,11,11/1/1994,3.5,2.65,7.96,4.46,2.65,1.81,,,
