year,label,a_ug_ai,delta_s_primary
2026,05pp,0.024,6.193868070610096e-05
2027,05pp,0.019,0.00023742395014097047
2028,05pp,0.02,0.0005411101301512261
2029,05pp,0.021,0.001066243814418897
2030,05pp,0.022000000000000002,0.0018092191515024386
2031,05pp,0.023,0.0027386246576719176
2032,05pp,0.023,0.003755958973371214
2033,05pp,0.024,0.0047976011994002995
2034,05pp,0.024,0.005832707348327516
2035,05pp,0.024,0.006897135361570685
2036,05pp,0.024,0.00798136331408893
2026,10pp,0.02436,0.00012381677593497142
2027,10pp,0.019389999999999998,0.00047423566548601746
2028,10pp,0.021950000000000004,0.0010788068396353633
2029,10pp,0.024460000000000003,0.002119375164727076
2030,10pp,0.026170000000000006,0.003581299388843474
2031,10pp,0.028239999999999998,0.005392409071120434
2032,10pp,0.028399999999999998,0.007355437365621818
2033,10pp,0.03033,0.009343149629642939
2034,10pp,0.030309999999999997,0.011294745804044716
2035,10pp,0.030279999999999994,0.01327872491654973
2036,10pp,0.03034,0.015276261890960834
