r (BEA / Jared),g (BEA / Jared),r-g (BEA / Jared),date,SPF 10-Year CPI,rgdp10,US 10-Year Yield (Observed),r (SPF / Blanchard),g (SPF / Blanchard),r-g (SPF / Blanchard)
2.7777105761864442,7.42,-4.642289423813556,1962-01-01,,,,,,
3.047508051878509,5.55,-2.5024919481214907,1963-01-01,,,,,,
3.192147915701443,7.37,-4.177852084298557,1964-01-01,,,,,,
3.294372991586713,8.45,-5.155627008413286,1965-01-01,,,,,,
3.5591587856541556,9.58,-6.020841214345844,1966-01-01,,,,,,
3.851087290811849,5.72,-1.868912709188151,1967-01-01,,,,,,
3.830147300074254,9.38,-5.549852699925747,1968-01-01,,,,,,
4.566211687545845,8.18,-3.6137883124541545,1969-01-01,,,,,,
5.077719475420025,5.48,-0.4022805245799753,1970-01-01,,,,,,
4.89742176697895,8.53,-3.6325782330210483,1971-01-01,,,,,,
4.801211004507145,9.81,-5.008788995492855,1972-01-01,,,,,,
5.089026429262855,11.43,-6.340973570737145,1973-01-01,,,,,,
6.240634974207083,8.41,-2.169365025792918,1974-01-01,,,,,,
5.889029642766658,9.04,-3.150970357233341,1975-01-01,,,,,,
5.598403029719064,11.19,-5.5915969702809365,1976-01-01,,,,,,
5.4454165331157665,11.12,-5.674583466884233,1977-01-01,,,,,,
5.84030333077483,12.960000000000003,-7.1196966692251715,1978-01-01,,,,,,
6.658222787229856,11.72,-5.061777212770145,1979-01-01,,,,,,
7.379028349976051,8.75,-1.3709716500239486,1980-01-01,,,,,,
8.71106269239052,12.24,-3.528937307609481,1981-01-01,,,,,,
9.196874239515452,4.26,4.936874239515452,1982-01-01,,,,,,
7.896819395252483,8.68,-0.7831806047475174,1983-01-01,,,,,,
8.500698177088315,11.11,-2.609301822911683,1984-01-01,,,,,,
8.59028966468957,7.46,1.1302896646895697,1985-01-01,,,,,,
7.814271097187615,5.55,2.264271097187615,1986-01-01,,,,,,
7.3348739226766675,6.02,1.3148739226766675,1987-01-01,,,,,,
7.3991916615974915,7.85,-0.45080833840250856,1988-01-01,,,,,,
7.713505538828401,7.739999999999999,-0.02649446117159865,1989-01-01,,,,,,
7.644311270970883,5.7,1.9443112709708825,1990-01-01,,,,,,
7.231241067772803,3.27,3.9612410677728036,1991-01-01,,,,,,
,,,1991-10-01,4.0,,,,,
6.645382578539386,5.88,0.7653825785393857,1992-01-01,3.7,2.5,7.03,3.33,2.5,0.8300000000000001
,,,1992-02-01,3.7,2.5,7.34,3.6399999999999997,2.5,1.1399999999999997
,,,1992-03-01,3.7,2.5,7.54,3.84,2.5,1.3399999999999999
,,,1992-04-01,3.9,2.5,7.48,3.5800000000000005,2.5,1.0800000000000005
,,,1992-05-01,3.9,2.5,7.39,3.4899999999999998,2.5,0.9899999999999998
,,,1992-06-01,3.9,2.5,7.26,3.36,2.5,0.8599999999999999
,,,1992-07-01,3.75,2.5,6.84,3.09,2.5,0.5899999999999999
,,,1992-08-01,3.75,2.5,6.59,2.84,2.5,0.33999999999999986
,,,1992-09-01,3.75,2.5,6.42,2.67,2.5,0.16999999999999993
,,,1992-10-01,3.6,2.5,6.59,2.9899999999999998,2.5,0.48999999999999977
,,,1992-11-01,3.6,2.5,6.87,3.27,2.5,0.77
,,,1992-12-01,3.6,2.5,6.77,3.1699999999999995,2.5,0.6699999999999995
6.117265259531165,5.19,0.9272652595311647,1993-01-01,3.5,2.7,6.6,3.0999999999999996,2.7,0.39999999999999947
,,,1993-02-01,3.5,2.7,6.26,2.76,2.7,0.05999999999999961
,,,1993-03-01,3.5,2.7,5.98,2.4800000000000004,2.7,-0.21999999999999975
,,,1993-04-01,3.7,2.7,5.97,2.2699999999999996,2.7,-0.4300000000000006
,,,1993-05-01,3.7,2.7,6.04,2.34,2.7,-0.3600000000000003
,,,1993-06-01,3.7,2.7,5.96,2.26,2.7,-0.4400000000000004
,,,1993-07-01,3.45,2.7,5.81,2.3599999999999994,2.7,-0.34000000000000075
,,,1993-08-01,3.45,2.7,5.68,2.2299999999999995,2.7,-0.47000000000000064
,,,1993-09-01,3.45,2.7,5.36,1.9100000000000001,2.7,-0.79
,,,1993-10-01,3.45,2.7,5.33,1.88,2.7,-0.8200000000000003
,,,1993-11-01,3.45,2.7,5.72,2.2699999999999996,2.7,-0.4300000000000006
,,,1993-12-01,3.45,2.7,5.77,2.3199999999999994,2.7,-0.3800000000000008
5.911102760943938,6.25,-0.3388972390560623,1994-01-01,3.45,2.6500000000000004,5.75,2.3,2.6500000000000004,-0.35000000000000053
,,,1994-02-01,3.45,2.6500000000000004,5.97,2.5199999999999996,2.6500000000000004,-0.13000000000000078
,,,1994-03-01,3.45,2.6500000000000004,6.48,3.0300000000000002,2.6500000000000004,0.3799999999999999
,,,1994-04-01,3.5,2.6500000000000004,6.97,3.4699999999999998,2.6500000000000004,0.8199999999999994
,,,1994-05-01,3.5,2.6500000000000004,7.18,3.6799999999999997,2.6500000000000004,1.0299999999999994
,,,1994-06-01,3.5,2.6500000000000004,7.1,3.5999999999999996,2.6500000000000004,0.9499999999999993
,,,1994-07-01,3.5,2.6500000000000004,7.3,3.8,2.6500000000000004,1.1499999999999995
,,,1994-08-01,3.5,2.6500000000000004,7.24,3.74,2.6500000000000004,1.0899999999999999
,,,1994-09-01,3.5,2.6500000000000004,7.46,3.96,2.6500000000000004,1.3099999999999996
,,,1994-10-01,3.5,2.6500000000000004,7.74,4.24,2.6500000000000004,1.5899999999999999
,,,1994-11-01,3.5,2.6500000000000004,7.96,4.46,2.6500000000000004,1.8099999999999996
,,,1994-12-01,3.5,2.6500000000000004,7.81,4.31,2.6500000000000004,1.6599999999999993
6.440334504316694,4.84,1.6003345043166943,1995-01-01,3.3,2.7,7.78,4.48,2.7,1.7800000000000002
