date,r (cbo baseline),g (cbo baseline),gdp (cbo baseline),year,s (cbo baseline),b (cbo baseline),"b (tbl senate, as written)","b (tbl senate, permanent)","s (tbl senate, as written)","s (tbl senate, permanent)",r (moody's S1),r (moody's S2),r (moody's S3),g (moody's S1),g (moody's S2),g (moody's S3)
2022-01-01,-6.556000000000001,-1.2270000000000003,23240.948975077423,,,,,,,,,,,,,
2022-04-01,-6.411,0.3570000000000011,23601.21089069974,,,,,,,,,,,,,
2022-07-01,-1.4290000000000003,2.8890000000000002,25132.25235567035,,,,,,,,,,,,,
2022-10-01,0.08400000000000007,3.48,25768.993503363985,,,,,,,,,,,,,
2023-01-01,0.022999999999999687,2.9689999999999994,26214.643467183927,,,,,,,,,,,,-11.966979092540198,-9.665997245228318
2023-04-01,1.7269999999999999,2.464,26950.896275499188,,,,,,,,,,,0.6069738859241891,0.6069738859241891,0.6069738859241891
2023-07-01,0.9070000000000005,4.457000000000001,27089.19733056963,,,,,,,,,,,1.071522787323076,1.071522787323076,1.071522787323076
2023-10-01,2.9270000000000005,3.2800000000000002,27875.247505245632,,,,,,,,,,,0.788672702737836,0.788672702737836,0.788672702737836
2024-01-01,1.1380000000000003,1.682,27784.45380598319,2024.0,-3.2997649001367564,97.8185854637,,,,,1.4854246192907299,1.4854246192907299,1.4854246192907299,0.40480213931690656,0.40480213931690656,0.40480213931690656
2024-04-01,1.9269999999999996,3.0839999999999996,28304.557337391234,,,,,,,,1.8751334470761476,1.8751334470761476,1.8751334470761476,0.7389796233074009,0.7389796233074009,0.7389796233074009
2024-07-01,2.0570000000000004,2.846,28810.077633503122,,,,,,,,1.6700689998801495,1.6700689998801495,1.6700689998801495,0.7595104802784025,0.7595104802784025,0.7595104802784025
2024-10-01,1.8649999999999998,2.028,28992.05565924348,,,,,,,,1.8075879210171353,1.8075879210171353,1.8075879210171353,0.607065022345421,0.607065022345421,0.607065022345421
2025-01-01,1.955,2.0309999999999997,29313.71590575814,2025.0,-3.0295513908630323,99.88918290644008,-99.8,-99.8,-3.0,-3.0,1.953341266414074,1.953341266414074,1.953341266414074,-0.06075009762195327,-0.06075009762195327,-0.06075009762195327
2025-04-01,1.9990000000000006,2.0700000000000003,29666.745010478488,,,,,,,,1.833835565555706,1.833835565555706,1.8338355655566163,0.46577221305916794,0.46577221305916794,0.46577221305916794
2025-07-01,1.9060000000000001,1.9259999999999997,29959.754807880618,,,,,,,,1.6975755202373914,1.2841625551301794,0.6901336445334039,0.32467529264956774,0.1485504443491381,-0.07425627829029668
2025-10-01,1.8689999999999998,1.7719999999999998,30249.226370010572,,,,,,,,1.653167209513069,1.0261764792897763,0.1101410783823944,0.5482425900916743,0.3524142093410232,0.16126567657188673
2026-01-01,1.846,1.8729999999999998,30548.24303678458,2026.0,-2.242987493349435,101.72713821129133,-103.2,-103.2,-3.8,-3.8,1.9069113025884175,1.0813611123211047,-0.13467911472442928,0.6455572293262213,0.3676881560610079,0.05478273734655925
2026-01-01,1.846,1.8729999999999998,30548.24303678458,2026.0,-2.1079285845715967,n.a.,-103.2,-103.2,-3.8,-3.8,1.9069113025884175,1.0813611123211047,-0.13467911472442928,0.6455572293262213,0.3676881560610079,0.05478273734655925
2026-01-01,1.846,1.8729999999999998,30548.24303678458,2026.0,-2.1229026008552916,n.a.,-103.2,-103.2,-3.8,-3.8,1.9069113025884175,1.0813611123211047,-0.13467911472442928,0.6455572293262213,0.3676881560610079,0.05478273734655925
2026-04-01,1.9220000000000002,1.9140000000000001,30872.429274413316,,,,,,,,1.8297846614435969,0.7823817492227203,-0.7781763027427315,0.6491414717959998,0.31867232596600736,-0.09103492164188598
2026-07-01,1.9250000000000003,1.8030000000000004,31165.663418364347,,,,,,,,2.0010602039874446,1.1795095406559755,-0.05203387753899236,0.6646724750052124,0.29940312245135825,-0.18191682213887228
2026-10-01,1.9180000000000001,1.782,31455.50261749309,,,,,,,,2.1078833579040266,1.3881249681839618,0.32842272316028964,0.7077332587494656,0.3109523125263136,-0.2302417948663371
2027-01-01,1.9259999999999997,1.855,31757.43909015148,2027.0,-1.8799641085020782,103.3746226112749,-106.5,-106.5,-3.6,-3.6,2.1131434760499754,1.5541125155943947,0.753104337916092,0.6355178300228026,0.2886092904444526,-0.1908705528964827
2027-04-01,1.9329999999999998,1.725,32051.498274239097,,,,,,,,2.1163243730516497,1.7876704312487774,1.348495041137359,0.6040430816143028,0.3418568224638596,-0.03723149471051013
2027-07-01,1.9299999999999997,1.738,32345.979231832756,,,,,,,,1.9367454075060246,1.831379089039209,1.7409617180758898,0.5500130608749876,0.35440065072789295,0.05875514147128946
2027-10-01,1.928,1.8410000000000002,32651.59835261816,,,,,,,,1.820733504315636,1.8748177434639333,2.042493971595394,0.49235858356890816,0.36446252158646164,0.14932955575797102
2028-01-01,1.917,1.832,32957.199588174735,2028.0,-2.210281352988087,105.43800038650033,-109.7,-109.7,-3.3,-3.3,1.8167141570584135,1.969129742948339,2.3123495537384704,0.42521637682890745,0.36399371813513604,0.22123758715506536
2028-04-01,1.9039999999999997,1.695,33254.34098418519,,,,,,,,1.8787954049837143,2.086011012474117,2.5348457522316536,0.4050032698395878,0.40603679750230715,0.33094482559101746
2028-07-01,1.893,1.7619999999999998,33561.05021667091,,,,,,,,1.9736293863654515,2.21134236162574,2.734939292090174,0.37915792867571074,0.43214349031390764,0.4162633189522147
2028-10-01,1.89,1.816,33876.878731727404,,,,,,,,2.0745273550671026,2.322976731369102,2.9015705164850933,0.37246606404992555,0.4624676535318839,0.49080787701645257
2029-01-01,1.8899999999999997,1.851,34199.782333735326,2029.0,-1.9717381853724563,107.22841128185381,-112.9,-113.1,-3.4,-3.6,,,,,,
2029-04-01,1.885,1.8539999999999999,34524.409495141634,,,,,,,,,,,,,
2029-07-01,1.8789999999999998,1.8389999999999997,34850.22894625891,,,,,,,,,,,,,
2029-10-01,1.875,1.834,35179.189504544695,,,,,,,,,,,,,
2030-01-01,1.8710000000000002,1.8760000000000001,35514.3843272606,2030.0,-2.2316254261515662,109.21562009204769,-115.7,-116.1,-3.0,-3.3,,,,,,
