quarter,primary_surplus
1947Q1,.....
1947Q2,.....
1947Q3,.....
1947Q4,.....
1948Q1,.....
1948Q2,.....
1948Q3,.....
1948Q4,.....
1949Q1,.....
1949Q2,.....
1949Q3,.....
1949Q4,.....
1950Q1,.....
1950Q2,.....
1950Q3,.....
1950Q4,.....
1951Q1,.....
1951Q2,.....
1951Q3,.....
1951Q4,.....
1952Q1,.....
1952Q2,.....
1952Q3,.....
1952Q4,.....
1953Q1,.....
1953Q2,.....
1953Q3,.....
1953Q4,.....
1954Q1,.....
1954Q2,.....
1954Q3,.....
1954Q4,.....
1955Q1,.....
1955Q2,.....
1955Q3,.....
1955Q4,.....
1956Q1,.....
1956Q2,.....
1956Q3,.....
1956Q4,.....
1957Q1,.....
1957Q2,.....
1957Q3,.....
1957Q4,.....
1958Q1,.....
1958Q2,.....
1958Q3,.....
1958Q4,.....
1959Q1,.....
1959Q2,.....
1959Q3,.....
1959Q4,.....
1960Q1,"-7,674"
1960Q2,"-11,139"
1960Q3,"-14,275"
1960Q4,"-18,129"
1961Q1,"-20,760"
1961Q2,"-21,655"
1961Q3,"-20,606"
1961Q4,"-19,817"
1962Q1,"-22,139"
1962Q2,"-21,837"
1962Q3,"-21,187"
1962Q4,"-21,834"
1963Q1,"-19,211"
1963Q2,"-16,840"
1963Q3,"-18,798"
1963Q4,"-18,515"
1964Q1,"-21,674"
1964Q2,"-26,739"
1964Q3,"-22,954"
1964Q4,"-20,274"
1965Q1,"-16,151"
1965Q2,"-17,115"
1965Q3,"-26,245"
1965Q4,"-26,536"
1966Q1,"-22,426"
1966Q2,"-22,771"
1966Q3,"-27,070"
1966Q4,"-31,331"
1967Q1,"-40,710"
1967Q2,"-40,256"
1967Q3,"-41,049"
1967Q4,"-38,837"
1968Q1,"-35,731"
1968Q2,"-38,093"
1968Q3,"-29,865"
1968Q4,"-29,568"
1969Q1,"-18,759"
1969Q2,"-19,573"
1969Q3,"-25,857"
1969Q4,"-26,401"
1970Q1,"-37,140"
1970Q2,"-47,127"
1970Q3,"-55,908"
1970Q4,"-62,968"
1971Q1,"-59,247"
1971Q2,"-67,877"
1971Q3,"-67,712"
1971Q4,"-64,945"
1972Q1,"-57,230"
1972Q2,"-56,080"
1972Q3,"-51,118"
1972Q4,"-53,471"
1973Q1,"-41,770"
1973Q2,"-48,807"
1973Q3,"-40,562"
1973Q4,"-41,984"
1974Q1,"-47,269"
1974Q2,"-44,227"
1974Q3,"-58,207"
1974Q4,"-75,362"
1975Q1,"-108,720"
1975Q2,"-158,907"
1975Q3,"-121,227"
1975Q4,"-125,919"
1976Q1,"-113,595"
1976Q2,"-99,928"
1976Q3,"-100,983"
1976Q4,"-100,057"
1977Q1,"-88,377"
1977Q2,"-87,295"
1977Q3,"-87,195"
1977Q4,"-91,034"
1978Q1,"-93,977"
1978Q2,"-74,839"
1978Q3,"-83,851"
1978Q4,"-74,847"
1979Q1,"-67,558"
1979Q2,"-73,905"
1979Q3,"-81,879"
1979Q4,"-86,612"
1980Q1,"-108,060"
1980Q2,"-139,635"
1980Q3,"-142,393"
1980Q4,"-117,558"
1981Q1,"-118,461"
1981Q2,"-117,314"
1981Q3,"-116,264"
1981Q4,"-160,203"
1982Q1,"-181,909"
1982Q2,"-196,488"
1982Q3,"-234,384"
1982Q4,"-264,088"
1983Q1,"-277,224"
1983Q2,"-246,688"
1983Q3,"-270,773"
1983Q4,"-253,573"
1984Q1,"-229,191"
1984Q2,"-233,970"
1984Q3,"-250,403"
1984Q4,"-267,837"
1985Q1,"-232,718"
1985Q2,"-292,314"
1985Q3,"-275,113"
1985Q4,"-283,348"
1986Q1,"-278,185"
1986Q2,"-301,036"
1986Q3,"-318,828"
1986Q4,"-282,027"
1987Q1,"-296,813"
1987Q2,"-234,914"
1987Q3,"-256,592"
1987Q4,"-267,486"
1988Q1,"-255,603"
1988Q2,"-253,388"
1988Q3,"-231,224"
1988Q4,"-244,898"
1989Q1,"-221,899"
1989Q2,"-245,437"
1989Q3,"-261,670"
1989Q4,"-281,232"
1990Q1,"-306,985"
1990Q2,"-316,026"
1990Q3,"-316,719"
1990Q4,"-365,662"
1991Q1,"-319,252"
1991Q2,"-382,800"
1991Q3,"-420,684"
1991Q4,"-426,871"
1992Q1,"-466,503"
1992Q2,"-470,178"
1992Q3,"-486,687"
1992Q4,"-475,838"
1993Q1,"-477,426"
1993Q2,"-442,464"
1993Q3,"-447,830"
1993Q4,"-400,181"
1994Q1,"-375,055"
1994Q2,"-350,792"
1994Q3,"-371,449"
1994Q4,"-375,617"
1995Q1,"-376,653"
1995Q2,"-380,728"
1995Q3,"-342,941"
1995Q4,"-332,590"
1996Q1,"-337,250"
1996Q2,"-293,407"
1996Q3,"-277,351"
1996Q4,"-234,807"
1997Q1,"-218,994"
1997Q2,"-175,223"
1997Q3,"-160,386"
1997Q4,"-165,017"
1998Q1,"-106,134"
1998Q2,"-93,802"
1998Q3,"-74,814"
1998Q4,"-65,912"
1999Q1,"-56,913"
1999Q2,"-46,848"
1999Q3,"-41,733"
1999Q4,"-53,421"
2000Q1,"59,477"
2000Q2,"38,339"
2000Q3,"31,627"
2000Q4,-765
2001Q1,"-37,135"
2001Q2,"-116,856"
2001Q3,"-345,260"
2001Q4,"-306,313"
2002Q1,"-519,843"
2002Q2,"-571,963"
2002Q3,"-591,112"
2002Q4,"-657,199"
2003Q1,"-702,218"
2003Q2,"-746,797"
2003Q3,"-806,466"
2003Q4,"-714,683"
2004Q1,"-755,408"
2004Q2,"-725,009"
2004Q3,"-700,793"
2004Q4,"-675,454"
2005Q1,"-591,538"
2005Q2,"-582,348"
2005Q3,"-637,749"
2005Q4,"-558,583"
2006Q1,"-488,805"
2006Q2,"-481,587"
2006Q3,"-481,688"
2006Q4,"-445,494"
2007Q1,"-525,809"
2007Q2,"-535,438"
2007Q3,"-625,076"
2007Q4,"-681,423"
2008Q1,"-769,420"
2008Q2,"-1,126,735"
2008Q3,"-1,080,980"
2008Q4,"-1,435,624"
2009Q1,"-1,831,711"
2009Q2,"-1,989,871"
2009Q3,"-1,931,000"
2009Q4,"-1,900,992"
2010Q1,"-1,951,209"
2010Q2,"-1,964,805"
2010Q3,"-1,830,135"
2010Q4,"-1,781,327"
2011Q1,"-1,730,979"
2011Q2,"-1,763,739"
2011Q3,"-1,715,320"
2011Q4,"-1,704,829"
2012Q1,"-1,566,741"
2012Q2,"-1,528,066"
2012Q3,"-1,514,241"
2012Q4,"-1,432,483"
2013Q1,"-1,141,956"
2013Q2,"-875,241"
2013Q3,"-1,076,628"
2013Q4,"-895,391"
2014Q1,"-895,593"
2014Q2,"-894,685"
2014Q3,"-945,323"
2014Q4,"-951,316"
2015Q1,"-900,007"
2015Q2,"-764,411"
2015Q3,"-928,606"
2015Q4,"-804,971"
2016Q1,"-1,007,559"
2016Q2,"-995,864"
2016Q3,"-1,029,436"
2016Q4,"-1,041,579"
2017Q1,"-1,072,482"
2017Q2,"-1,115,829"
2017Q3,"-1,130,250"
2017Q4,"-154,806"
2018Q1,"-1,198,082"
2018Q2,"-1,275,594"
2018Q3,"-1,253,925"
2018Q4,"-1,328,491"
2019Q1,"-1,415,617"
2019Q2,"-1,390,278"
2019Q3,"-1,468,434"
2019Q4,"-1,502,895"
2020Q1,"-1,544,817"
2020Q2,"-5,182,255"
2020Q3,"-3,747,842"
2020Q4,"-2,303,859"
2021Q1,"-4,677,487"
2021Q2,"-2,755,763"
2021Q3,"-2,210,669"
2021Q4,"-1,552,479"
2022Q1,"-551,166"
2022Q2,"-807,325"
2022Q3,"-1,093,166"
2022Q4,"-1,345,788"
2023Q1,"-1,998,348"
2023Q2,"-2,195,747"
2023Q3,"-2,207,063"
2023Q4,"-2,023,400"
2024Q1,"-2,087,502"
2024Q2,"-2,189,284"
2024Q3,"-2,321,986"
2024Q4,"-2,238,396"
2025Q1,"-2,194,606"
2025Q2,"-2,108,811"
