year,cbo_primary_balance,cbo_real_10yr,cbo_real_growth,imf_federal_primary_balance,imf_real_10yr,imf_real_growth
2023,,1.2630000000000003,3.4935,,,
2024,,1.7237500000000001,2.4457500000000003,,1.6999999999999997,2.8
2025,-2.652,1.2495000000000003,1.99775,-2.7050000000000005,1.2999999999999998,2.1
2026,-2.55,1.6569999999999998,2.28325,-2.8429999999999995,1.1,2.5
2027,-2.339,2.002,1.8465,-2.675,1.7999999999999998,2.2
2028,-2.129,2.1785,1.8102500000000001,-2.787,1.7999999999999998,2.1
2029,-2.273,2.2935,1.80275,-2.2220000000000004,1.7999999999999998,1.9
2030,-2.056,2.3472500000000003,1.8217500000000002,-2.171,1.7000000000000002,1.8
2031,-1.899,2.37325,1.8042500000000001,-1.811,1.7000000000000002,1.8
2032,-1.909,2.3884999999999996,1.79425,,,
2033,-1.986,2.39475,1.8079999999999998,,,
2034,-2.08,2.407,1.8035,,,
2035,-2.084,2.409,1.80625,,,
2036,-2.078,2.4107499999999997,1.79575,,,
