year,cbo_revenues,cbo_primary_outlays,cbo_primary_balance_unadj,imf_apr2026_gg_revenues,imf_apr2026_gg_primary_outlays,imf_apr2026_gg_primary_balance,imf_oct2025_gg_revenues,imf_oct2025_gg_primary_outlays,imf_oct2025_gg_primary_balance
1980,,,,,,,,,
1981,,,,,,,,,
1982,,,,,,,,,
1983,,,,,,,,,
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,32.257,30.488999999999997,1.768,32.257,30.488999999999997,1.768
2002,,,,29.877,31.593999999999998,-1.717,29.877,31.593999999999998,-1.717
2003,,,,29.266,32.077999999999996,-2.812,29.266,32.077999999999996,-2.812
2004,,,,29.476,31.826999999999998,-2.351,29.476,31.826999999999998,-2.351
2005,,,,30.853,31.937,-1.084,30.853,31.937,-1.084
2006,,,,31.656,31.73,-0.074,31.656,31.73,-0.074
2007,,,,31.649,32.496,-0.847,31.649,32.496,-0.847
2008,,,,30.532,35.121,-4.589,30.532,35.121,-4.589
2009,,,,28.222,39.510000000000005,-11.288,28.222,39.510000000000005,-11.288
2010,,,,28.77,37.736,-8.966,28.77,37.736,-8.966
2011,,,,29.08,36.498999999999995,-7.419,29.08,36.498999999999995,-7.419
2012,,,,29.109,35.014,-5.905,29.109,35.014,-5.905
2013,,,,31.222,33.806000000000004,-2.584,31.222,33.806000000000004,-2.584
2014,,,,31.298,33.354,-2.056,31.298,33.354,-2.056
2015,,,,31.501,33.193,-1.692,31.501,33.193,-1.692
2016,,,,30.977,33.351,-2.374,30.977,33.351,-2.374
2017,,,,30.4,33.181,-2.781,30.4,33.181,-2.781
2018,,,,30.014,33.115,-3.101,30.014,33.115,-3.101
2019,,,,30.014,33.542,-3.528,30.014,33.542,-3.528
2020,,,,30.609,42.686,-12.077,30.601,42.673,-12.072
2021,,,,31.762,40.955,-9.193,31.767,40.931,-9.164
2022,,,,33.075,34.064,-0.989,33.07,34.057,-0.987
2023,,,,29.622,34.381,-4.759,29.852,34.521,-4.669
2024,,,,29.879,34.25,-4.371,29.887,34.501,-4.614
2025,17.241,19.893,-2.652000000000001,30.88,34.05,-3.17,30.42,34.22,-3.8
2026,17.541,20.090999999999998,-2.549999999999997,30.437,34.105000000000004,-3.668,30.067,34.13,-4.063
2027,17.665,20.005,-2.34,30.531,34.048,-3.517,30.066,34.184,-4.118
2028,17.514,20.0,-2.4860000000000007,30.383,34.039,-3.656,30.004,34.184,-4.18
2029,17.55,19.480999999999998,-1.9309999999999974,30.396,33.765,-3.369,30.295,33.925000000000004,-3.63
2030,17.638,19.695,-2.0569999999999986,30.648,33.914,-3.266,30.612,34.052,-3.44
2031,17.699,19.599,-1.8999999999999986,30.761,33.842,-3.081,,,
2032,17.702,19.612000000000002,-1.9100000000000001,,,,,,
2033,17.685,20.069000000000003,-2.384000000000004,,,,,,
2034,17.681,19.79,-2.108999999999998,,,,,,
2035,17.711,19.399,-1.6880000000000024,,,,,,
2036,17.77,19.848,-2.0779999999999994,,,,,,
