year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
1,0,0.9656,0.01,0.022389659,0.01,-0.023246528,0,irresponsible,-0.012389659,0.039113274,-0.018013362,0.009656
2,0,1.004713274,0.013742816,0.006836144,0.010748563,-0.035361092,0,irresponsible,0.006906672,0.021099912,-0.010724387,0.010378813
3,0,1.007799824,0.014151257,0.019900264,0.011429102,-0.011431571,0,irresponsible,-0.005749007,0.0176645,0.010230741,0.01148297
4,0,1.040042273,0.025079948,0.018101522,0.014159271,-0.036144811,0,irresponsible,0.006978426,0.041561393,0.015457649,0.014269711
5,0,1.090922611,0.022973832,0.015939653,0.015922183,-0.050898222,0,irresponsible,0.007034179,0.048579798,-0.00222086,0.016559744
6,0,1.13720187,0.033375348,0.014546207,0.019412816,-0.041046284,0,irresponsible,0.018829142,0.037119674,-0.009937264,0.02117788
7,0,1.165161958,0.033318391,0.018208935,0.022193931,-0.023509386,0,irresponsible,0.015109456,0.02870527,-0.003267761,0.02523898
8,0,1.194612409,0.034971454,0.019388736,0.024749436,-0.023323168,0,irresponsible,0.015582718,0.030584152,0.005126231,0.028837101
9,0,1.226330263,0.033978171,0.014863495,0.026595183,-0.017908291,0,irresponsible,0.019114677,0.038957732,0.007806729,0.031770936
10,0,1.272527873,0.039260864,0.020948943,0.029128319,-0.036372812,0,irresponsible,0.018311922,0.04619761,0.007239878,0.035720939
1,1,0.9656,0.01,0.026296092,0.01,-0.003526995,0,irresponsible,-0.016296092,0.039372513,-0.009716824,0.009656
2,1,1.004972513,0.011825891,0.00982085,0.010365178,-0.038852022,0,irresponsible,0.00200504,0.02965569,-0.006030558,0.010008616
3,1,1.024911379,0.019266507,0.023292316,0.012145444,-0.030886178,0,irresponsible,-0.004025809,0.027311397,0.000417143,0.012205837
4,1,1.059595306,0.020719753,0.021638454,0.013860306,-0.042486993,0,irresponsible,-0.000918701,0.030489975,0.00137821,0.014205585
5,1,1.085891329,0.024784331,0.027717516,0.016045111,-0.038330483,0,irresponsible,-0.002933185,0.030067816,0.002786547,0.017001324
6,1,1.119730938,0.030152287,0.02513889,0.018866546,-0.040483668,0,irresponsible,0.005013397,0.036063068,0.005723284,0.020487019
7,1,1.158017466,0.033659416,0.023555396,0.02182512,-0.040179385,0,irresponsible,0.010104019,0.041514384,0.004155497,0.024438262
8,1,1.202759705,0.045836122,0.016080388,0.02662732,-0.032721997,0,irresponsible,0.029755734,0.044374063,-0.000915833,0.030834902
9,1,1.246765592,0.049911545,0.017671047,0.031284165,-0.027916887,0,irresponsible,0.032240498,0.039682718,-0.004507258,0.037627334
10,1,1.28212514,0.049084527,0.022894709,0.034844238,-0.020794744,0,irresponsible,0.026189818,0.035359548,-0.00432317,0.043442597
1,2,0.9656,0.01,0.014783716,0.01,-0.014847901,0,irresponsible,-0.004783716,0.037879606,-0.011116318,0.009656
2,2,1.003479606,0.014957322,0.027233771,0.010991464,-0.053147378,0,irresponsible,-0.012276449,0.026763288,-0.006558708,0.010613358
3,2,1.019126576,0.020406963,0.021638352,0.012874564,-0.024254989,0,irresponsible,-0.001231388,0.02476219,0.001447765,0.012919363
4,2,1.053003986,0.018556803,0.020275104,0.014011012,-0.040134451,0,irresponsible,-0.001718302,0.029658818,0.004362633,0.014278995
5,2,1.078444212,0.028440714,0.023071595,0.016896952,-0.031795522,0,irresponsible,0.00536912,0.033487456,0.006515784,0.017792558
6,2,1.119978897,0.027065667,0.023985137,0.018930695,-0.04685794,0,irresponsible,0.00308053,0.042690386,6.46E-05,0.020415699
7,2,1.163824984,0.031747131,0.020054626,0.021493982,-0.042265732,0,irresponsible,0.011692505,0.03361658,0.002476176,0.024072807
8,2,1.187212057,0.038582427,0.015305543,0.024911671,-0.012375754,0,irresponsible,0.023276884,0.047642739,0.012771132,0.028992826
9,2,1.259110461,0.042933013,0.008864946,0.02851594,-0.048773509,0,irresponsible,0.034068068,0.059158843,-0.000611728,0.033854467
10,2,1.305529743,0.041474296,0.01905926,0.031107611,-0.031532802,0,irresponsible,0.022415036,0.046419282,-0.012739561,0.039167918
1,3,0.9656,0.01,0.021008955,0.01,-0.034999468,0,irresponsible,-0.011008955,0.030077839,0.010698992,0.009656
2,3,0.995677839,0.012370244,0.016390288,0.010474049,-0.035698437,0,irresponsible,-0.004020045,0.040776831,0.006901713,0.010113741
3,3,1.047153663,0.013137213,0.013666945,0.011006682,-0.054088877,0,irresponsible,-0.000529732,0.043881264,-0.003163155,0.010959109
4,3,1.083440367,0.016923773,0.024674353,0.0121901,-0.049044837,0,irresponsible,-0.007750579,0.034450521,-0.007489552,0.012764908
5,3,1.116054705,0.01646546,0.021532058,0.013045172,-0.041615558,0,irresponsible,-0.005066599,0.02890216,-0.004852354,0.014133666
6,3,1.141244687,0.007710378,0.016266313,0.011978213,-0.029899136,0,irresponsible,-0.008555935,0.024745813,-0.004739837,0.013368341
7,3,1.165546331,0.009223916,0.014630949,0.011427354,-0.027905009,0,irresponsible,-0.005407033,0.019422487,-0.002789135,0.013041407
8,3,1.180089661,0.01208981,0.020025583,0.011559845,-0.024216823,0,irresponsible,-0.007935774,0.019167543,0.002061665,0.013473535
9,3,1.203881417,0.016777607,0.016607865,0.012603397,-0.028440187,0,irresponsible,0.000169742,0.023545816,0.002066166,0.014873139
